Function Name,Old Size (bytes),New Size (bytes),Difference In Size,Min Old Time (sec),Max Old Time (sec),Mean Old Time (sec),Min New Time (sec),Max New Time (sec),Mean New Time (sec),Difference In Mean Time
getnumberofvehiclesforhouseholds(),102680,46448,56232,1.881212,2.206973,2.009243,1.821313,2.458085,2.097787,-0.088544
gethouseholdincome(),31416,31416,0,2.402054,2.487378,2.428524,2.056856,2.714886,2.204097,0.224427
gethouseholdhealthinsurance(),70400,38736,31664,2.30034,2.564292,2.377846,2.046006,2.310835,2.17842,0.199426
getsexraceandage(),280440,165800,114640,9.151873,14.41238,10.394759,9.000096,9.038723,9.014939,1.37982
getschoolenrollment(),101688,74856,26832,2.32757,7.85908,2.87762,2.1858,2.26616,2.23922,0.6384
geteducationattainment(),83552,59552,24000,3.30583,6.18627,3.30918,2.32973,2.78441,2.47755,0.83163
getemployment(),139960,110528,29432,2.87182,5.27004,5.10627,3.33314,3.48668,3.5151,1.59117
getdisability(),37112,26944,10168,2.10958,2.45182,2.10981,1.76127,2.16986,1.95339,0.15642
getlangandnativity(),87944,69248,18696,2.38139,4.76726,4.59889,2.14617,2.26161,2.20389,2.395
getcitizenandlang(),67088,60304,6784,2.75676,4.93291,3.10686,2.00724,2.01959,2.01289,1.09397
getvets(),87496,59352,28144,1.10688,7.05745,1.14007,2.19323,2.29668,2.21985,-1.07978
gettransport(),27096,24728,2368,2.00858,2.70095,2.17945,2.23477,2.88344,2.58474,-0.40529
gettraveltime(),42128,38424,3704,6.11854,13.2512,9.12927,4.57002,19.18331,6.2207,2.90857
getnumberofvehiclesforgroupquarters(),38784,38784,0,1.378478,1.609926,1.490012,1.284913,1.940454,1.482069,0.007943
getincomeforgroupquarters(),26760,26760,0,1.45791,2.1926,1.82945,1.44425,1.62061,1.48083,0.34862
gethealthinsuranceforgroupquarters(),80520,46304,34216,4.09385,11.15584,5.26546,0.8156,1.26385,1.22911,4.03635
TOTAL,1305064,918184,386880,47.652667,91.106369,59.352714,41.230404,60.699183,45.114582,14.238132

